elapsed_s,kbps,pps
2.7,965.7,494.7
6.7,984.8,504.5
8.8,979.5,501.8
12.7,982.6,503.4
14.7,991.5,507.9
16.8,988.8,506.6
20.7,978.1,501.1
22.7,980.3,502.2
26.8,975.0,499.5
30.8,984.9,504.6
34.7,981.6,502.9
36.7,981.1,502.6
40.7,974.1,499.0
44.8,977.3,500.7
48.7,967.1,495.5
50.8,971.9,497.9
54.7,974.2,499.1
58.7,973.9,498.9
60.7,951.3,487.3
64.7,977.6,500.8
68.7,982.2,503.2
72.8,977.0,500.5
76.7,981.0,502.6
80.7,962.4,493.0
84.7,961.9,492.8
86.7,991.1,507.8
88.7,971.9,497.9
92.7,982.7,503.4
94.8,981.6,502.9
98.7,985.6,504.9
102.7,976.8,500.4
106.7,985.8,505.0
108.7,989.9,507.1
112.7,982.0,503.1
