elapsed_s,kbps,pps
2.9,890.1,456.0
4.9,782.7,401.0
8.9,845.8,433.3
12.9,842.4,431.6
14.9,987.9,506.1
18.9,914.4,468.4
20.9,779.1,399.1
24.9,880.9,451.3
26.9,919.2,470.9
28.9,986.2,505.2
32.9,989.5,506.9
34.9,916.4,469.5
38.9,742.8,380.6
42.9,917.6,470.1
46.9,836.8,428.7
48.9,779.0,399.1
52.9,846.1,433.5
56.9,878.4,450.0
58.9,916.3,469.4
62.9,845.2,433.0
66.9,948.9,486.1
68.9,915.1,468.8
72.9,818.8,419.5
74.9,882.1,451.9
78.9,843.4,432.1
82.9,880.4,451.0
84.9,826.2,423.3
86.9,792.5,406.0
88.9,891.4,456.6
92.9,852.3,436.6
96.9,843.0,431.9
100.9,749.6,384.0
102.9,700.5,358.9
106.9,841.2,430.9
110.9,799.4,409.5
114.9,851.4,436.1
116.9,916.6,469.6
120.9,803.5,411.6
