elapsed_s,kbps,pps
3.2,972.0,498.0
5.2,981.1,502.6
7.2,980.4,502.3
11.2,957.0,490.3
15.2,969.4,496.6
17.2,970.9,497.4
19.2,979.1,501.6
23.2,963.3,493.5
25.2,954.3,488.9
29.2,975.6,499.8
33.2,963.9,493.8
37.2,979.4,501.7
41.2,974.6,499.3
45.2,989.8,507.0
47.2,978.7,501.4
49.2,988.8,506.5
53.2,983.9,504.1
57.2,977.7,500.9
59.2,973.7,498.8
63.2,979.1,501.6
65.2,977.4,500.7
69.2,969.4,496.6
71.2,988.4,506.4
75.2,984.2,504.2
79.2,974.6,499.3
81.2,989.2,506.8
83.2,969.1,496.5
85.2,987.6,506.0
87.2,969.0,496.4
91.2,953.7,488.6
95.2,978.6,501.3
97.2,977.3,500.6
101.2,965.2,494.5
105.2,979.4,501.8
107.2,990.8,507.6
109.2,986.7,505.5
111.2,991.1,507.7
