elapsed_s,kbps,pps
2.0,1004.5,514.6
4.0,980.9,502.5
8.0,979.8,501.9
12.0,988.0,506.2
16.0,982.7,503.4
20.0,984.7,504.4
24.0,983.4,503.8
28.0,988.9,506.6
32.0,989.5,506.9
36.0,988.2,506.3
38.0,988.5,506.4
40.0,982.1,503.1
44.0,988.6,506.5
48.0,981.3,502.7
50.0,989.7,507.0
52.0,976.9,500.5
56.0,988.3,506.3
60.0,985.6,504.9
64.0,982.8,503.5
68.0,989.2,506.8
70.0,984.6,504.4
74.0,985.1,504.6
78.0,988.0,506.1
82.0,983.4,503.8
84.0,982.8,503.5
86.0,988.2,506.3
90.0,983.0,503.6
92.0,989.9,507.1
96.0,988.9,506.6
98.0,988.1,506.2
102.0,986.0,505.1
106.0,982.0,503.1
108.0,986.0,505.1
112.0,989.2,506.8
