elapsed_s,kbps,pps
2.1,914.1,468.3
4.1,967.9,495.9
6.2,934.9,478.9
10.1,950.5,486.9
14.1,927.3,475.1
18.1,959.5,491.6
22.1,957.1,490.3
24.1,924.9,473.8
28.1,941.8,482.5
32.2,972.4,498.2
36.1,943.1,483.2
40.1,966.3,495.1
44.1,966.6,495.2
48.1,958.0,490.8
52.1,973.0,498.5
54.1,965.4,494.6
58.1,979.9,502.0
62.1,964.5,494.1
66.1,974.3,499.1
68.1,947.0,485.2
72.1,922.1,472.4
76.1,976.6,500.3
78.1,987.9,506.1
80.1,986.7,505.5
84.1,919.6,471.1
86.1,948.0,485.6
90.1,976.6,500.3
94.1,965.4,494.6
96.1,981.7,502.9
98.1,987.6,505.9
102.1,960.6,492.1
106.1,972.0,497.9
