elapsed_s,kbps,pps
2.3,993.8,509.1
6.3,974.7,499.3
8.3,958.1,490.8
10.3,989.1,506.7
14.3,977.7,500.9
16.3,983.6,503.9
20.3,956.0,489.8
22.3,985.3,504.8
26.3,984.6,504.4
30.3,982.2,503.2
34.3,978.0,501.0
36.3,979.4,501.8
38.3,983.3,503.8
42.3,985.8,505.0
44.3,974.0,499.0
48.3,973.8,498.9
52.3,989.1,506.7
56.3,985.6,504.9
60.3,968.9,496.4
62.3,974.5,499.2
64.3,991.9,508.2
68.3,977.7,500.8
70.3,989.4,506.9
74.3,976.7,500.4
76.3,975.2,499.6
80.3,985.8,505.0
82.3,990.2,507.3
86.3,984.2,504.2
90.3,975.7,499.9
92.3,965.4,494.6
96.3,985.6,504.9
98.3,972.6,498.3
102.3,970.7,497.3
106.3,977.6,500.8
110.3,981.5,502.8
114.3,974.0,499.0
116.3,980.5,502.3
118.3,951.6,487.5
