elapsed_s,kbps,pps
3.5,996.7,510.6
5.5,987.4,505.8
9.5,988.3,506.3
11.5,982.5,503.3
15.5,988.9,506.6
19.5,989.6,507.0
23.5,987.4,505.8
25.5,988.1,506.2
27.5,989.8,507.1
29.6,987.1,505.7
33.5,988.3,506.3
35.5,986.2,505.2
39.5,989.6,507.0
41.5,987.0,505.6
45.5,986.1,505.2
49.5,989.6,507.0
53.5,981.9,503.0
57.5,993.7,509.1
61.5,988.4,506.4
65.5,988.2,506.2
67.5,989.9,507.1
69.5,986.5,505.4
73.5,985.8,505.0
77.5,990.8,507.6
81.5,987.5,505.9
83.5,987.0,505.6
87.5,989.4,506.8
89.5,986.4,505.3
93.5,988.0,506.2
95.5,989.9,507.1
99.5,988.0,506.1
101.5,987.0,505.6
103.5,988.3,506.3
107.5,987.6,505.9
111.5,988.5,506.4
113.5,970.8,497.3
117.5,988.1,506.2
119.5,987.3,505.8
121.5,987.5,505.9
125.5,988.3,506.3
127.5,988.8,506.6
131.5,987.4,505.8
135.5,988.0,506.1
137.5,988.1,506.2
141.5,988.6,506.5
145.5,988.3,506.3
147.5,985.9,505.1
149.5,990.6,507.5
151.5,987.0,505.6
155.5,988.3,506.3
159.5,986.5,505.4
161.5,988.9,506.6
165.5,989.7,507.0
167.5,983.4,503.8
171.5,988.1,506.2
173.5,992.7,508.5
177.5,977.3,500.7
179.5,986.5,505.4
183.5,988.4,506.3
187.5,988.1,506.2
191.5,987.5,505.9
195.5,989.2,506.8
197.5,987.7,506.0
201.5,988.3,506.3
203.5,986.6,505.4
205.5,986.9,505.6
207.5,987.7,506.0
211.5,989.3,506.8
215.5,988.0,506.1
217.5,989.0,506.6
219.5,985.2,504.7
223.5,989.4,506.8
225.5,988.2,506.3
229.5,987.2,505.7
231.5,989.0,506.7
235.5,988.2,506.3
239.5,987.4,505.9
243.5,987.9,506.1
247.5,988.9,506.6
251.5,987.3,505.8
253.5,988.8,506.6
257.5,989.0,506.6
261.5,985.7,505.0
265.5,990.3,507.3
269.5,987.2,505.7
273.5,988.6,506.4
275.5,986.3,505.3
277.5,989.0,506.7
279.5,987.0,505.7
283.5,988.9,506.6
287.5,988.2,506.2
289.5,987.7,506.0
293.5,988.1,506.2
297.5,978.2,501.1
301.5,989.0,506.7
303.5,986.5,505.4
305.5,988.9,506.6
309.5,987.3,505.8
313.5,989.1,506.7
317.5,988.0,506.2
321.5,987.4,505.9
323.5,989.7,507.0
