elapsed_s,kbps,pps
3.4,987.4,505.8
7.4,983.6,503.9
9.4,982.2,503.2
13.4,979.4,501.7
17.4,978.6,501.3
21.4,979.1,501.6
25.4,985.9,505.1
27.4,989.1,506.7
29.4,966.7,495.2
31.4,984.9,504.6
35.4,982.2,503.2
39.4,986.5,505.4
41.4,987.5,505.9
43.4,974.7,499.3
47.4,978.9,501.5
49.4,955.8,489.6
53.4,968.7,496.3
55.4,982.3,503.2
59.4,978.0,501.0
63.4,975.7,499.9
65.4,976.4,500.2
69.4,982.7,503.4
71.4,969.3,496.5
75.4,971.3,497.6
77.4,982.7,503.4
81.4,964.2,494.0
85.4,971.5,497.7
89.4,965.8,494.8
93.4,969.8,496.8
95.4,975.2,499.6
99.4,983.7,503.9
101.4,982.0,503.1
103.4,987.9,506.1
107.4,976.6,500.3
109.4,988.3,506.3
113.4,978.4,501.2
115.4,981.7,502.9
117.4,954.4,489.0
121.4,980.0,502.1
125.4,980.5,502.3
127.4,965.8,494.8
