elapsed_s,kbps,pps
2.2,995.1,509.8
6.2,990.6,507.5
8.2,986.9,505.6
12.2,987.1,505.7
14.2,989.3,506.8
16.2,986.8,505.5
20.2,988.3,506.3
24.2,987.8,506.1
26.2,987.1,505.7
30.2,986.9,505.6
32.2,989.8,507.1
36.2,988.8,506.6
38.3,981.7,502.9
42.2,990.7,507.5
44.2,983.7,503.9
48.2,988.4,506.4
52.2,988.4,506.3
56.2,267.1,136.8
60.2,384.1,196.8
64.2,988.7,506.5
68.2,985.6,504.9
72.2,988.3,506.3
74.2,989.3,506.8
78.2,987.8,506.0
82.2,987.2,505.7
84.2,986.8,505.5
88.2,986.1,505.1
