elapsed_s,kbps,pps
3.5,25132.7,12875.4
7.5,1009.1,517.0
11.5,1013.9,519.4
15.5,1016.1,520.6
17.5,1009.1,517.0
19.5,990.5,507.5
23.5,1011.6,518.2
27.5,1013.1,519.0
31.5,1003.6,514.2
35.5,1015.8,520.4
39.5,1015.6,520.3
43.5,1002.5,513.6
47.5,1002.5,513.6
49.5,1007.8,516.3
51.5,1014.7,519.8
55.5,995.8,510.2
57.5,1016.8,520.9
59.5,982.6,503.4
63.5,1011.9,518.4
65.5,1016.2,520.6
69.5,1005.9,515.3
71.5,1021.4,523.3
75.5,987.0,505.6
79.5,1011.7,518.3
83.5,1003.5,514.1
85.5,1002.4,513.5
89.5,984.9,504.5
91.5,1009.0,516.9
95.5,986.0,505.1
99.5,998.5,511.5
103.5,1003.3,514.0
107.5,999.2,511.9
111.5,1006.8,515.8
113.5,1012.4,518.6
117.5,990.1,507.2
121.5,987.9,506.1
125.5,997.4,511.0
129.5,975.7,499.9
133.5,976.4,500.2
137.5,994.0,509.2
141.5,976.4,500.2
145.5,974.7,499.4
147.5,995.3,509.9
149.5,1010.1,517.5
153.5,1003.6,514.1
155.5,992.3,508.4
157.5,989.2,506.8
161.5,1011.5,518.2
165.5,994.2,509.3
169.5,996.0,510.2
173.5,1004.8,514.7
177.5,978.0,501.0
181.5,987.9,506.1
185.5,1001.8,513.2
189.5,1006.5,515.6
193.5,1012.5,518.7
197.5,995.5,510.0
201.5,993.6,509.0
203.5,994.3,509.4
207.5,981.3,502.7
209.5,978.3,501.2
213.5,922.0,472.3
217.5,936.6,479.8
219.5,961.2,492.4
223.5,962.9,493.3
225.5,987.5,505.9
227.5,939.4,481.3
231.5,978.8,501.5
233.5,981.4,502.8
237.5,964.3,494.0
239.5,952.1,487.8
241.5,969.2,496.5
245.5,975.1,499.5
249.5,990.0,507.2
253.5,1000.9,512.7
257.5,997.5,511.0
259.5,1009.0,516.9
263.5,1004.3,514.5
267.5,988.4,506.3
271.5,993.7,509.1
275.5,979.0,501.6
277.5,979.7,501.9
281.5,992.3,508.3
283.5,981.0,502.6
285.5,995.0,509.7
289.5,1002.5,513.6
293.5,1008.5,516.7
297.5,982.0,503.1
301.5,994.4,509.4
303.5,1003.3,514.0
305.5,1003.0,513.8
309.5,1002.1,513.4
313.5,1005.9,515.3
317.5,1000.4,512.5
319.5,988.4,506.3
323.5,1000.4,512.5
325.5,1005.2,514.9
329.5,991.6,508.0
331.5,996.0,510.2
335.5,1000.5,512.5
337.5,981.9,503.0
341.5,991.4,507.9
345.5,987.0,505.6
349.5,995.9,510.2
353.5,1002.2,513.4
357.5,980.8,502.5
361.5,1000.4,512.5
365.5,1005.0,514.9
369.5,1002.0,513.3
373.5,996.8,510.6
375.5,1013.0,518.9
379.5,1014.1,519.5
383.5,1000.3,512.4
387.5,1003.8,514.2
389.5,995.5,510.0
393.5,996.0,510.2
395.5,983.2,503.7
399.5,998.1,511.3
403.5,998.9,511.7
407.5,986.3,505.3
409.5,1002.2,513.4
413.5,1004.1,514.4
415.5,988.5,506.4
419.5,1006.1,515.4
421.5,967.9,495.9
425.5,998.5,511.5
429.5,724.7,371.2
431.5,0.0,0.0
435.5,0.0,0.0
437.5,0.0,0.0
441.5,0.0,0.0
445.5,0.0,0.0
449.5,0.0,0.0
451.5,0.0,0.0
453.5,0.0,0.0
457.5,0.0,0.0
459.5,0.0,0.0
463.5,0.0,0.0
465.5,0.0,0.0
469.5,0.0,0.0
471.5,0.0,0.0
473.5,0.0,0.0
477.5,0.0,0.0
479.5,0.0,0.0
481.5,0.0,0.0
485.5,44.8,22.9
487.5,266.4,136.5
489.5,266.6,136.6
493.5,266.6,136.6
497.5,265.1,135.8
501.5,266.3,136.4
503.5,265.7,136.1
507.5,266.2,136.4
509.5,265.7,136.1
513.5,266.0,136.3
517.5,266.4,136.5
521.5,265.5,136.0
525.5,266.5,136.5
529.5,265.0,135.8
533.5,266.2,136.4
537.5,266.6,136.6
541.5,265.4,135.9
543.5,265.3,135.9
545.5,267.4,137.0
549.5,265.4,136.0
553.5,266.1,136.3
555.5,266.0,136.3
559.5,266.1,136.3
561.5,265.3,135.9
563.5,267.0,136.8
567.5,265.3,135.9
571.5,266.0,136.3
575.5,266.2,136.4
579.5,265.4,136.0
581.5,265.3,135.9
583.5,265.8,136.2
587.5,266.6,136.6
591.5,265.7,136.1
593.5,266.6,136.6
595.5,264.9,135.7
599.5,265.6,136.1
603.5,266.0,136.3
607.5,265.6,136.1
611.5,266.3,136.4
615.5,265.9,136.2
619.5,266.2,136.4
623.5,264.7,135.6
627.5,266.4,136.5
629.5,266.2,136.4
633.5,266.1,136.3
637.5,265.6,136.1
641.5,265.9,136.2
645.5,266.4,136.5
647.5,265.4,136.0
649.5,266.1,136.3
653.5,266.1,136.3
657.5,265.5,136.0
661.5,265.6,136.1
665.5,266.2,136.4
669.5,266.4,136.5
673.5,265.5,136.0
677.5,266.5,136.5
681.5,265.5,136.0
683.5,266.4,136.5
685.5,265.0,135.8
689.5,266.2,136.4
693.5,265.8,136.2
697.5,266.1,136.3
701.5,265.5,136.0
705.5,265.4,136.0
709.5,265.7,136.1
713.5,266.3,136.4
715.5,266.6,136.6
719.5,265.4,135.9
721.5,265.4,136.0
725.5,266.0,136.3
727.5,266.3,136.4
729.5,265.4,136.0
731.5,265.5,136.0
733.5,267.3,136.9
735.5,266.1,136.3
739.5,265.7,136.1
