elapsed_s,kbps,pps
4.0,686.8,351.8
8.0,690.1,353.5
10.0,660.4,338.3
14.0,659.7,338.0
18.0,705.7,361.5
22.0,675.5,346.1
26.0,662.8,339.6
30.0,657.0,336.6
34.0,675.7,346.1
38.0,642.4,329.1
42.0,669.2,342.8
44.0,667.0,341.7
48.0,666.1,341.2
50.0,658.5,337.3
54.0,665.3,340.8
58.0,705.9,361.6
62.0,666.4,341.4
66.0,697.8,357.5
70.0,687.6,352.3
74.0,644.0,329.9
78.0,659.0,337.6
82.0,660.1,338.2
86.0,667.0,341.7
88.0,690.7,353.9
90.0,703.2,360.2
94.0,691.2,354.1
96.0,672.3,344.4
100.0,667.2,341.8
104.0,661.4,338.8
108.0,657.0,336.6
112.0,630.6,323.1
116.0,617.9,316.6
120.0,627.9,321.7
124.0,675.7,346.2
128.0,671.4,344.0
130.0,697.8,357.5
132.0,692.3,354.7
136.0,687.6,352.2
140.0,670.5,343.5
144.0,665.5,340.9
148.0,675.4,346.0
152.0,693.0,355.0
156.0,674.0,345.3
160.0,685.5,351.2
164.0,676.1,346.4
168.0,661.4,338.8
172.0,697.3,357.2
174.0,690.4,353.7
178.0,683.9,350.4
182.0,665.4,340.9
186.0,670.3,343.4
190.0,656.2,336.2
192.0,676.6,346.6
196.0,677.9,347.3
200.0,683.2,350.0
204.0,670.4,343.4
208.0,656.4,336.3
212.0,642.7,329.2
216.0,671.4,343.9
218.0,674.3,345.4
222.0,648.4,332.2
226.0,664.4,340.4
230.0,658.9,337.5
234.0,627.5,321.4
238.0,626.5,320.9
240.0,641.7,328.7
244.0,674.9,345.7
248.0,677.6,347.1
252.0,653.2,334.6
256.0,670.0,343.2
260.0,628.4,321.9
264.0,638.3,327.0
268.0,673.6,345.1
270.0,664.4,340.4
272.0,656.8,336.5
276.0,688.7,352.8
280.0,681.3,349.0
284.0,692.4,354.7
288.0,678.3,347.5
292.0,696.8,357.0
296.0,669.6,343.0
300.0,669.5,343.0
304.0,695.3,356.2
306.0,613.6,314.4
310.0,655.1,335.6
314.0,680.5,348.6
316.0,617.4,316.3
320.0,667.1,341.8
322.0,663.4,339.8
326.0,682.5,349.6
330.0,676.1,346.3
332.0,673.8,345.2
334.0,675.3,345.9
338.0,687.8,352.3
342.0,700.3,358.8
346.0,678.2,347.5
350.0,654.9,335.5
352.0,658.8,337.5
356.0,695.6,356.3
360.0,679.1,347.9
364.0,644.9,330.4
368.0,653.4,334.7
372.0,641.4,328.6
376.0,629.2,322.3
378.0,598.8,306.8
382.0,620.9,318.1
386.0,606.0,310.4
390.0,641.1,328.4
392.0,656.3,336.2
396.0,624.9,320.1
400.0,652.6,334.3
404.0,678.6,347.6
408.0,660.8,338.5
412.0,672.9,344.7
416.0,664.3,340.3
420.0,678.9,347.8
424.0,696.9,357.0
428.0,691.5,354.3
432.0,641.5,328.7
434.0,665.6,341.0
438.0,693.1,355.0
440.0,689.3,353.1
444.0,698.1,357.7
448.0,675.9,346.3
450.0,691.8,354.4
454.0,701.4,359.3
456.0,686.1,351.5
460.0,689.1,353.0
464.0,690.2,353.6
466.0,710.0,363.7
468.0,709.1,363.3
472.0,684.0,350.4
476.0,683.1,349.9
480.0,702.0,359.6
484.0,705.7,361.5
488.0,697.0,357.1
492.0,709.6,363.5
496.0,697.6,357.4
500.0,703.6,360.4
502.0,695.8,356.5
504.0,709.4,363.4
508.0,674.1,345.3
510.0,702.8,360.1
514.0,703.1,360.2
516.0,687.1,352.0
518.0,711.1,364.3
522.0,700.9,359.1
526.0,696.9,357.0
530.0,705.4,361.4
534.0,688.8,352.8
538.0,680.0,348.4
542.0,695.7,356.4
546.0,688.1,352.5
548.0,702.5,359.9
552.0,687.5,352.2
556.0,701.9,359.6
558.0,673.0,344.8
562.0,687.7,352.3
566.0,668.2,342.3
568.0,675.0,345.8
570.0,674.2,345.4
574.0,687.9,352.4
578.0,660.7,338.4
582.0,674.8,345.7
586.0,679.3,348.0
588.0,629.7,322.6
592.0,686.5,351.7
594.0,695.3,356.2
596.0,684.3,350.5
598.0,679.8,348.3
602.0,702.7,360.0
606.0,683.4,350.1
608.0,653.4,334.7
610.0,696.7,356.9
614.0,682.2,349.5
618.0,694.6,355.8
622.0,667.2,341.8
624.0,680.4,348.6
628.0,683.3,350.0
632.0,687.1,352.0
636.0,655.2,335.6
640.0,671.2,343.9
644.0,661.3,338.8
648.0,657.0,336.6
652.0,688.4,352.7
656.0,704.9,361.1
660.0,669.3,342.9
662.0,693.2,355.1
666.0,649.7,332.8
670.0,580.4,297.3
674.0,641.4,328.6
678.0,692.2,354.6
682.0,659.9,338.0
686.0,681.7,349.2
690.0,654.9,335.5
694.0,668.2,342.3
698.0,696.2,356.7
700.0,661.3,338.8
704.0,669.1,342.8
706.0,623.7,319.5
710.0,655.4,335.8
714.0,645.9,330.9
718.0,654.5,335.3
722.0,660.8,338.5
724.0,617.4,316.3
728.0,661.5,338.9
732.0,635.2,325.4
736.0,663.3,339.8
740.0,636.2,325.9
742.0,613.7,314.4
744.0,618.4,316.8
748.0,664.7,340.5
750.0,672.6,344.5
754.0,648.3,332.1
756.0,630.2,322.8
760.0,651.5,333.7
764.0,650.7,333.3
768.0,638.7,327.2
772.0,663.7,340.0
774.0,692.1,354.5
778.0,640.0,327.8
780.0,663.8,340.1
784.0,681.9,349.3
788.0,664.8,340.6
792.0,678.8,347.7
796.0,646.9,331.4
798.0,667.6,342.0
802.0,661.8,339.0
806.0,666.1,341.2
808.0,631.8,323.7
810.0,643.1,329.5
814.0,674.9,345.8
818.0,661.6,338.9
820.0,619.0,317.1
824.0,649.2,332.6
828.0,668.3,342.4
832.0,661.8,339.1
834.0,683.2,350.0
836.0,692.4,354.7
838.1,623.5,319.4
842.0,668.6,342.5
846.0,673.6,345.1
850.0,658.5,337.3
852.0,678.1,347.4
856.0,669.2,342.8
860.0,682.1,349.4
864.0,697.3,357.2
868.0,655.3,335.7
872.0,671.9,344.2
874.0,701.0,359.1
878.0,669.2,342.8
882.0,639.4,327.6
886.0,642.0,328.9
890.0,662.9,339.6
894.0,673.9,345.2
898.0,687.8,352.3
902.0,652.2,334.1
906.0,655.6,335.9
910.0,636.0,325.8
914.0,689.4,353.2
918.0,688.0,352.4
922.0,646.3,331.1
926.0,659.9,338.1
930.0,653.1,334.6
932.0,709.1,363.3
936.0,664.0,340.2
938.0,675.4,346.0
940.0,675.0,345.8
944.0,636.6,326.1
948.0,653.0,334.5
952.0,641.4,328.6
956.0,621.7,318.5
960.0,661.0,338.6
964.0,642.9,329.4
968.0,650.3,333.2
972.0,647.1,331.5
976.0,610.4,312.7
978.0,663.4,339.9
980.0,628.5,322.0
984.0,655.4,335.8
988.0,678.1,347.4
992.0,684.5,350.7
996.0,686.9,351.9
998.0,684.9,350.9
1002.0,693.5,355.3
1006.0,684.6,350.7
1010.0,667.8,342.1
1014.0,683.8,350.3
1018.0,687.9,352.4
1022.0,678.4,347.6
1026.0,660.8,338.5
1030.0,688.5,352.7
1034.0,683.1,350.0
1038.0,682.8,349.8
1042.0,677.0,346.8
1046.0,677.5,347.1
1050.0,675.7,346.1
1054.0,694.9,356.0
1058.0,702.9,360.1
1062.0,695.7,356.4
1066.0,704.8,361.1
1070.0,693.8,355.4
1074.0,691.4,354.2
1076.0,702.1,359.7
1078.0,687.2,352.1
1082.0,707.5,362.4
1086.0,695.0,356.0
1090.0,692.6,354.8
1094.0,703.4,360.3
1096.0,692.9,355.0
1100.0,710.4,363.9
1102.0,695.6,356.4
1106.0,687.0,351.9
1110.0,700.5,358.9
1114.0,695.4,356.2
1118.0,695.0,356.1
1122.0,682.9,349.8
1126.0,692.7,354.9
1128.0,655.6,335.9
1132.0,690.3,353.6
1134.0,702.4,359.8
1138.0,687.7,352.3
1140.0,683.6,350.2
1144.0,696.9,357.0
1146.0,699.3,358.2
1150.0,693.4,355.2
1154.0,695.6,356.4
1156.0,293.1,150.2
1160.0,0.0,0.0
1162.0,0.0,0.0
1166.0,0.0,0.0
1168.0,0.0,0.0
1170.0,0.0,0.0
1174.0,0.0,0.0
1178.0,0.0,0.0
1182.0,0.0,0.0
1186.0,0.0,0.0
1190.0,0.0,0.0
1194.0,0.0,0.0
1198.0,0.0,0.0
1202.0,0.0,0.0
1206.0,0.0,0.0
1210.0,528.3,270.7
1214.0,684.1,350.5
1218.0,684.4,350.6
1222.0,700.2,358.7
1226.0,656.8,336.5
1230.0,665.5,340.9
1234.0,701.9,359.6
1238.0,689.0,353.0
1242.0,662.9,339.6
1244.0,702.6,359.9
1246.0,690.5,353.7
1250.0,662.0,339.1
1252.0,683.4,350.1
1254.0,663.3,339.8
1258.0,658.5,337.3
1260.0,700.5,358.9
1262.0,698.0,357.6
1266.0,695.9,356.5
1268.0,646.9,331.4
1272.0,671.1,343.8
1274.0,677.2,346.9
1278.0,667.5,342.0
1282.0,677.7,347.2
1284.0,644.1,330.0
1288.0,689.3,353.1
1290.0,690.6,353.8
1294.0,237.7,121.8
1298.0,0.0,0.0
1302.0,0.0,0.0
1306.0,0.0,0.0
1310.0,0.0,0.0
