elapsed_s,kbps,pps
2.8,982.6,503.4
4.8,976.9,500.5
6.8,944.5,483.9
10.8,949.7,486.5
12.8,978.5,501.3
16.8,965.4,494.6
20.8,962.0,492.8
24.8,967.0,495.4
26.8,962.5,493.1
30.8,967.7,495.8
32.8,979.9,502.0
36.8,978.1,501.1
40.8,967.6,495.7
44.8,960.7,492.1
46.8,976.9,500.5
48.8,984.5,504.4
50.9,977.6,500.8
54.8,960.1,491.8
56.8,935.5,479.3
60.8,964.3,494.0
64.8,966.7,495.2
66.8,988.7,506.5
70.8,965.9,494.8
74.8,922.2,472.4
76.8,974.2,499.1
80.8,972.2,498.1
84.8,971.1,497.5
86.8,960.3,491.9
90.9,943.4,483.3
94.8,979.8,502.0
98.8,956.2,489.9
100.8,956.5,490.0
104.8,954.3,488.9
108.8,948.6,486.0
112.8,954.1,488.8
116.8,946.0,484.6
118.8,975.9,499.9
122.8,958.0,490.8
126.8,926.7,474.7
128.8,974.6,499.3
132.8,958.7,491.1
