elapsed_s,kbps,pps
3.6,939.3,481.2
5.6,987.7,506.0
7.6,989.4,506.8
9.6,679.9,348.3
13.6,936.7,479.9
15.6,988.3,506.3
19.6,730.2,374.1
21.6,886.2,454.0
25.6,821.5,420.9
29.6,792.9,406.2
31.6,783.9,401.6
35.6,885.9,453.8
39.6,803.4,411.6
43.6,739.3,378.7
45.6,925.1,473.9
47.6,886.4,454.1
51.6,937.6,480.3
55.6,880.0,450.8
59.6,885.6,453.7
63.6,726.7,372.3
67.6,885.4,453.6
71.6,937.2,480.1
75.6,781.7,400.5
79.6,833.9,427.2
81.6,988.5,506.4
85.6,776.2,397.6
89.6,735.8,377.0
93.6,833.9,427.2
97.6,724.8,371.3
101.6,781.3,400.2
103.6,887.2,454.5
107.6,884.2,453.0
111.6,880.8,451.2
115.6,787.6,403.5
119.6,574.1,294.1
121.6,881.4,451.5
123.6,586.9,300.7
