elapsed_s,kbps,pps
3.9,994.6,509.5
7.9,988.7,506.5
11.9,987.5,505.9
13.9,988.3,506.3
17.9,988.8,506.5
21.9,988.4,506.3
25.9,987.7,506.0
29.9,987.3,505.8
33.9,988.6,506.5
37.9,987.9,506.1
41.9,987.5,505.9
43.9,990.6,507.5
47.9,988.2,506.2
49.9,988.2,506.3
53.9,987.1,505.7
57.9,987.5,505.9
61.9,989.3,506.8
65.8,987.2,505.7
67.9,987.7,506.0
71.9,989.2,506.7
75.9,988.0,506.2
77.9,985.7,505.0
81.9,986.3,505.3
83.9,993.7,509.1
87.9,988.1,506.2
89.9,962.6,493.2
93.9,985.2,504.7
97.9,988.0,506.2
101.8,988.7,506.5
103.9,987.4,505.8
107.9,986.1,505.2
109.9,992.5,508.5
113.9,986.6,505.4
115.9,988.4,506.3
119.9,989.0,506.7
123.9,988.3,506.3
125.9,987.2,505.8
129.9,987.7,506.0
131.9,980.3,502.2
133.9,995.5,510.0
137.9,987.1,505.7
139.9,990.1,507.2
143.9,987.9,506.1
147.9,987.8,506.1
151.9,982.7,503.5
155.9,988.0,506.2
157.9,988.4,506.4
161.9,987.1,505.7
163.9,986.4,505.3
167.9,990.0,507.2
169.9,986.7,505.5
173.9,988.4,506.3
177.9,988.1,506.2
179.9,983.9,504.0
181.9,992.4,508.4
185.9,987.7,506.0
189.9,988.3,506.3
193.9,987.4,505.9
197.9,988.3,506.3
201.9,988.0,506.1
