elapsed_s,kbps,pps
2.3,980.4,502.2
6.3,978.5,501.3
10.3,981.7,502.9
14.2,985.9,505.1
16.3,979.0,501.5
18.3,992.1,508.2
22.3,985.4,504.8
26.3,988.8,506.6
30.3,985.4,504.8
34.2,983.9,504.1
36.2,981.7,502.9
38.2,984.0,504.1
42.2,982.0,503.1
44.2,987.4,505.8
48.3,987.3,505.8
50.3,985.2,504.7
54.2,987.3,505.8
56.3,988.1,506.2
60.3,976.2,500.1
64.3,984.5,504.3
68.3,980.4,502.3
72.2,986.4,505.3
76.2,990.1,507.2
80.2,985.9,505.1
82.2,976.7,500.4
84.3,983.3,503.7
88.2,983.7,503.9
90.3,984.0,504.1
