elapsed_s,kbps,pps
3.8,1030.1,527.7
5.8,1026.2,525.7
9.8,1024.7,525.0
13.8,1014.8,519.9
17.8,1030.4,527.9
21.8,1031.3,528.3
23.8,1020.9,523.0
25.8,1032.5,528.9
27.8,1028.3,526.8
31.8,1026.0,525.6
35.8,1026.4,525.8
39.8,1013.5,519.2
43.8,1034.2,529.8
45.8,1033.0,529.2
49.8,1023.7,524.4
53.8,1021.9,523.5
57.8,1027.6,526.4
59.8,1024.7,524.9
63.8,1028.9,527.1
65.8,1027.6,526.4
69.8,1033.2,529.3
71.8,1022.2,523.7
75.8,1016.7,520.8
79.8,1028.1,526.7
83.8,1034.4,529.9
87.8,1031.0,528.2
