elapsed_s,kbps,pps
4.0,991.3,507.8
8.0,987.4,505.8
12.0,987.9,506.1
16.0,986.7,505.5
20.0,989.6,507.0
24.0,987.9,506.1
26.0,987.7,506.0
30.0,988.7,506.5
32.0,987.6,505.9
36.0,987.0,505.6
40.0,988.9,506.6
42.0,987.4,505.9
44.0,988.6,506.5
48.0,987.7,506.0
50.0,988.8,506.6
54.0,988.1,506.2
56.0,987.1,505.7
60.0,988.5,506.4
64.0,988.0,506.2
66.0,987.5,505.9
70.0,983.1,503.6
74.0,988.5,506.4
76.0,986.5,505.4
80.0,988.0,506.2
84.0,987.0,505.6
86.0,990.5,507.4
88.0,986.6,505.4
92.0,988.6,506.5
96.0,987.7,506.0
98.0,988.2,506.2
100.0,988.2,506.2
104.0,987.8,506.1
108.0,988.3,506.3
110.0,989.2,506.7
114.0,988.0,506.2
118.0,988.2,506.3
120.0,987.5,505.9
122.0,987.6,505.9
126.0,989.0,506.6
128.0,986.5,505.4
132.0,987.8,506.0
136.0,988.2,506.2
140.0,988.7,506.5
142.0,985.3,504.8
146.0,988.5,506.4
150.0,987.4,505.8
154.0,988.2,506.2
156.0,990.1,507.2
160.0,987.6,506.0
164.0,988.1,506.2
166.0,990.2,507.3
168.0,983.8,504.0
172.0,989.1,506.7
174.0,986.2,505.2
178.0,989.3,506.8
182.0,988.5,506.4
186.0,987.7,506.0
188.0,988.7,506.5
192.0,987.9,506.1
194.0,988.4,506.4
198.0,987.8,506.0
200.0,985.2,504.7
204.0,989.1,506.7
208.0,988.1,506.2
212.0,986.8,505.5
216.0,989.0,506.7
218.0,987.9,506.1
222.0,987.9,506.1
226.0,988.3,506.3
228.0,990.2,507.3
232.0,988.0,506.1
234.0,988.7,506.5
238.0,986.9,505.6
240.0,986.5,505.4
244.0,988.6,506.5
248.0,988.2,506.2
250.0,978.1,501.1
252.0,983.5,503.8
254.0,983.9,504.0
258.0,990.1,507.2
262.0,987.9,506.1
266.0,988.5,506.4
270.0,987.4,505.8
272.0,990.0,507.2
274.0,982.4,503.3
276.0,993.4,508.9
278.0,989.1,506.7
280.0,988.4,506.3
284.0,987.5,505.9
286.0,986.9,505.6
290.0,988.6,506.4
292.0,984.1,504.2
296.0,990.2,507.3
298.0,988.0,506.2
300.0,985.5,504.9
302.0,992.6,508.5
306.0,987.3,505.8
308.0,987.8,506.1
310.0,987.7,506.0
314.0,987.7,506.0
318.0,988.5,506.4
322.0,988.7,506.5
326.0,988.1,506.2
328.0,987.1,505.7
330.0,988.3,506.3
332.0,988.5,506.4
334.0,986.8,505.5
338.0,987.0,505.6
340.0,991.4,507.9
344.0,987.9,506.1
346.0,990.0,507.2
350.0,986.9,505.6
354.0,988.7,506.5
356.0,988.2,506.2
360.0,987.6,505.9
362.0,985.1,504.7
366.0,990.2,507.3
370.0,988.0,506.1
372.0,988.1,506.2
376.0,987.3,505.8
380.0,986.6,505.4
382.0,991.2,507.8
386.0,988.4,506.4
390.0,987.8,506.0
394.0,988.2,506.3
398.0,984.5,504.4
400.0,993.3,508.8
402.0,988.0,506.2
404.0,989.3,506.8
408.0,987.8,506.1
412.0,988.5,506.4
414.0,982.8,503.5
418.0,990.3,507.3
422.0,987.1,505.7
426.0,986.7,505.5
428.0,990.6,507.5
430.0,988.7,506.5
434.0,988.9,506.6
438.0,986.5,505.4
442.0,989.8,507.1
444.0,987.1,505.7
446.0,987.6,506.0
450.0,987.4,505.8
452.0,989.0,506.6
454.0,989.0,506.6
456.0,988.5,506.4
460.0,987.1,505.7
464.0,988.8,506.6
468.0,987.8,506.0
472.0,988.0,506.1
474.0,989.4,506.9
476.0,987.4,505.9
480.0,987.8,506.1
484.0,987.4,505.9
486.0,990.4,507.4
490.0,988.2,506.3
492.0,988.9,506.6
494.0,987.5,505.9
498.0,988.0,506.2
502.0,988.4,506.4
506.0,987.0,505.6
510.0,988.3,506.3
514.0,988.4,506.4
518.0,985.1,504.7
520.0,993.2,508.8
524.0,988.0,506.1
528.0,988.5,506.4
530.0,989.1,506.7
532.0,984.6,504.4
536.0,988.4,506.4
540.0,988.5,506.4
544.0,987.7,506.0
548.0,988.8,506.5
550.0,987.4,505.8
554.0,988.8,506.6
558.0,987.0,505.6
562.0,988.7,506.5
566.0,986.9,505.6
568.0,990.2,507.3
570.0,987.1,505.7
574.0,987.7,506.0
578.0,986.7,505.5
580.0,993.7,509.1
584.0,987.1,505.7
588.0,987.9,506.1
592.0,988.7,506.5
596.0,987.4,505.9
600.0,988.5,506.4
602.0,988.2,506.3
606.0,988.1,506.2
610.0,988.0,506.1
614.0,988.9,506.6
616.0,985.8,505.0
620.0,989.0,506.6
624.0,987.8,506.0
628.0,988.4,506.3
630.0,987.4,505.8
634.0,988.0,506.2
636.0,987.6,505.9
640.0,988.8,506.6
642.0,986.6,505.4
644.0,989.3,506.8
648.0,987.8,506.1
652.0,988.1,506.2
656.0,986.7,505.5
658.0,990.7,507.5
660.0,987.5,505.9
664.0,988.2,506.2
668.0,988.3,506.3
670.0,988.3,506.3
674.0,987.8,506.1
676.0,987.3,505.8
680.0,987.4,505.8
682.0,985.8,505.0
686.0,989.9,507.1
688.0,986.8,505.6
692.0,988.0,506.1
696.0,986.5,505.4
698.0,988.1,506.2
702.0,987.9,506.1
706.0,989.9,507.1
708.0,988.8,506.6
710.0,986.6,505.4
714.0,987.7,506.0
716.0,989.3,506.8
720.0,987.6,506.0
724.0,987.0,505.6
726.0,989.3,506.8
730.0,972.1,498.0
734.0,990.3,507.3
736.0,988.4,506.3
738.0,980.7,502.4
742.0,991.9,508.1
746.0,984.7,504.5
750.0,991.5,507.9
754.0,987.9,506.1
758.0,987.8,506.0
760.0,986.0,505.1
764.0,986.9,505.6
768.0,989.9,507.1
772.0,988.1,506.2
776.0,987.2,505.7
780.0,988.6,506.4
784.0,987.9,506.1
786.0,987.4,505.8
790.0,985.9,505.1
792.0,992.2,508.3
796.0,988.4,506.3
800.0,987.7,506.0
802.0,986.4,505.3
804.0,989.6,506.9
806.0,987.7,506.0
810.0,988.1,506.2
814.0,987.7,506.0
816.0,988.3,506.3
818.0,988.4,506.3
822.0,987.5,505.9
826.0,988.6,506.5
828.0,986.6,505.4
832.0,988.1,506.2
836.0,987.3,505.8
838.0,991.4,507.9
840.0,986.8,505.6
844.0,988.6,506.5
848.0,988.0,506.2
850.0,975.3,499.6
854.0,985.3,504.8
858.0,988.9,506.6
860.0,987.4,505.9
864.0,988.3,506.3
866.0,987.7,506.0
870.0,987.6,505.9
874.0,987.6,506.0
876.0,990.9,507.6
880.0,987.4,505.8
884.0,987.0,505.6
888.0,988.6,506.4
892.0,986.2,505.2
896.0,989.2,506.8
900.0,987.3,505.8
904.0,990.4,507.4
908.0,988.2,506.3
912.0,979.7,501.9
916.0,987.9,506.1
918.0,984.2,504.2
922.0,987.1,505.7
924.0,990.4,507.4
928.0,989.4,506.9
932.0,987.7,506.0
934.0,985.5,504.9
936.0,991.5,508.0
940.0,988.2,506.3
944.0,985.8,505.0
948.0,990.0,507.2
952.0,988.2,506.3
954.0,986.5,505.4
958.0,988.7,506.5
960.0,988.2,506.3
964.0,987.0,505.6
968.0,989.7,507.0
970.0,967.6,495.7
974.0,989.0,506.6
978.0,984.8,504.5
982.0,991.4,507.9
986.0,988.1,506.2
990.0,988.2,506.3
994.0,988.1,506.2
998.0,986.1,505.2
1000.0,992.9,508.6
1002.0,987.5,505.9
1006.0,988.8,506.5
1010.0,986.3,505.3
1012.0,986.9,505.6
1014.0,991.4,507.9
1016.0,985.6,504.9
1018.0,991.9,508.1
1020.0,988.4,506.4
1024.0,987.0,505.6
1028.0,988.6,506.4
1032.0,988.4,506.4
1036.0,987.5,505.9
1038.0,988.9,506.6
1040.0,988.4,506.4
1044.0,987.7,506.0
1046.0,985.1,504.7
1050.0,989.3,506.8
1054.0,988.6,506.5
1056.0,988.7,506.5
1060.0,987.7,506.0
1064.0,988.4,506.3
1066.0,985.9,505.1
1068.0,986.2,505.2
1072.0,989.2,506.8
1076.0,989.3,506.8
1080.0,986.6,505.4
1082.0,987.7,506.0
1086.0,989.6,506.9
1088.0,988.7,506.5
1092.0,987.1,505.7
1096.0,988.7,506.5
1100.0,986.3,505.3
1102.0,984.9,504.6
1104.0,994.5,509.5
1108.0,988.2,506.3
1110.0,987.9,506.1
1114.0,988.0,506.2
1116.0,987.3,505.8
1118.0,988.0,506.2
1122.0,988.6,506.5
1126.0,988.2,506.3
1128.0,986.7,505.5
1130.0,988.3,506.3
1132.0,990.6,507.5
1136.0,988.0,506.1
1138.0,981.5,502.8
1140.0,992.7,508.5
1144.0,987.8,506.0
1146.0,987.6,506.0
1150.0,985.4,504.8
1154.0,992.9,508.7
1156.0,987.5,505.9
1160.0,986.3,505.3
1164.0,990.3,507.3
1166.0,988.8,506.6
1170.0,987.7,506.0
1172.0,989.2,506.8
1174.0,987.7,506.0
1176.0,987.9,506.1
1180.0,987.8,506.0
1184.0,988.8,506.6
1188.0,987.5,505.9
1192.0,988.9,506.6
1194.0,987.4,505.9
1196.0,988.4,506.3
1200.0,988.3,506.3
1202.0,988.1,506.2
1206.0,988.5,506.4
1208.0,989.0,506.7
1212.0,988.1,506.2
1214.0,988.1,506.2
1216.0,987.7,506.0
1220.0,988.8,506.6
1222.0,984.2,504.2
1226.0,988.7,506.5
1228.0,989.6,507.0
1232.0,989.0,506.6
1234.0,987.8,506.0
1236.0,981.5,502.8
1240.0,991.5,507.9
1242.0,987.2,505.8
1246.0,988.5,506.4
1248.0,986.8,505.5
1250.0,990.0,507.2
1254.0,987.7,506.0
1256.0,987.2,505.7
1260.0,989.2,506.8
1262.0,986.9,505.6
1266.0,988.4,506.4
1270.0,983.1,503.6
1272.0,998.1,511.3
1276.0,988.0,506.2
1280.0,988.5,506.4
1282.0,987.0,505.7
1284.0,989.0,506.7
1288.0,987.5,505.9
1292.0,988.3,506.3
1296.0,989.1,506.7
1300.0,987.6,505.9
1304.0,987.9,506.1
1306.0,988.5,506.4
1308.0,987.4,505.9
1310.0,989.5,506.9
1312.0,985.9,505.1
1316.0,989.3,506.8
1318.0,988.1,506.2
1320.0,987.3,505.8
1324.0,988.5,506.4
1328.0,986.6,505.4
1330.0,984.7,504.5
1332.0,995.8,510.1
1334.0,987.5,505.9
1338.0,988.0,506.2
1342.0,988.0,506.2
