elapsed_s,kbps,pps
3.0,989.2,506.8
5.1,986.4,505.3
9.0,985.2,504.7
13.0,990.6,507.5
17.0,986.7,505.5
19.1,987.1,505.7
23.0,989.5,506.9
25.0,987.8,506.0
29.1,988.2,506.2
33.1,988.5,506.4
37.0,987.3,505.8
41.0,988.7,506.5
45.0,987.7,506.0
49.1,988.6,506.5
53.0,988.5,506.4
55.0,985.4,504.8
59.0,989.1,506.7
61.1,987.6,505.9
65.0,988.0,506.1
67.0,987.1,505.7
71.1,978.3,501.2
75.0,988.5,506.4
77.0,986.4,505.3
79.0,988.8,506.6
83.0,987.9,506.1
87.0,988.6,506.5
91.1,988.3,506.3
95.0,987.6,505.9
97.1,988.5,506.4
101.1,987.7,506.0
105.0,988.1,506.2
107.0,989.3,506.8
111.0,987.8,506.1
115.0,987.7,506.0
119.0,988.5,506.4
121.1,984.7,504.4
125.0,989.2,506.7
127.1,990.5,507.4
131.0,982.5,503.3
135.1,988.2,506.2
139.0,988.1,506.2
141.0,988.3,506.3
145.0,987.7,506.0
147.1,988.3,506.3
151.0,987.4,505.8
155.1,989.0,506.7
159.0,988.0,506.2
161.1,987.6,506.0
165.0,987.9,506.1
167.1,987.8,506.1
171.0,988.5,506.4
175.0,987.4,505.8
179.0,989.6,507.0
181.0,986.6,505.4
183.1,987.6,505.9
187.0,988.2,506.3
189.0,984.9,504.6
191.0,990.6,507.5
195.0,988.1,506.2
199.0,987.7,506.0
201.0,989.5,506.9
203.0,986.6,505.4
205.0,988.8,506.6
209.1,988.0,506.1
213.0,985.8,505.0
215.0,990.0,507.2
217.1,990.2,507.3
221.0,988.4,506.3
223.1,988.6,506.5
227.0,987.7,506.0
231.0,987.8,506.0
235.1,988.5,506.4
239.1,988.4,506.3
241.1,987.4,505.8
245.0,988.4,506.4
249.0,988.4,506.4
253.1,987.7,506.0
257.1,988.2,506.3
261.0,988.3,506.3
263.0,986.2,505.2
265.0,988.3,506.3
269.0,988.7,506.5
271.0,989.0,506.7
273.0,987.1,505.7
275.0,988.6,506.5
277.0,987.6,506.0
281.0,987.9,506.1
283.0,988.5,506.4
285.1,990.0,507.2
289.0,986.4,505.3
291.0,989.2,506.8
293.1,989.3,506.8
297.1,988.4,506.4
301.0,987.3,505.8
303.0,989.2,506.8
307.0,987.5,505.9
311.0,988.6,506.5
315.0,985.4,504.8
317.0,989.2,506.8
319.1,988.6,506.5
323.0,988.5,506.4
325.0,986.6,505.4
329.1,989.0,506.7
333.1,988.0,506.2
337.1,987.0,505.7
341.0,988.7,506.5
345.0,988.2,506.3
347.0,989.0,506.6
