elapsed_s,kbps,pps
2.4,993.1,508.8
4.4,989.3,506.8
8.4,968.6,496.2
10.4,990.4,507.4
12.4,970.0,496.9
16.4,968.1,495.9
20.4,970.8,497.3
22.4,967.9,495.9
26.4,974.2,499.1
28.4,988.7,506.5
30.4,990.8,507.6
34.4,972.6,498.3
38.4,970.8,497.4
42.4,973.9,498.9
44.4,969.4,496.6
48.4,973.7,498.8
50.4,939.4,481.2
54.4,973.7,498.8
58.4,984.9,504.6
62.4,974.1,499.0
66.4,974.3,499.1
70.4,973.9,498.9
74.4,979.7,501.9
78.4,979.5,501.8
82.4,968.6,496.2
84.4,979.7,501.9
88.4,984.9,504.6
92.4,958.6,491.1
96.4,943.4,483.3
98.4,959.9,491.8
102.4,948.8,486.0
106.4,973.2,498.5
108.4,980.2,502.1
112.4,959.1,491.3
116.4,974.2,499.1
120.4,978.9,501.5
122.4,949.6,486.5
126.4,984.4,504.3
130.4,983.6,503.9
134.4,979.2,501.6
138.4,964.2,494.0
140.4,957.1,490.3
144.4,984.8,504.5
146.4,990.0,507.2
150.4,981.8,503.0
154.4,975.8,499.9
