elapsed_s,kbps,pps
3.2,960.7,492.2
7.2,920.2,471.4
11.2,921.5,472.1
13.2,934.0,478.5
15.2,968.4,496.1
19.2,989.8,507.1
23.2,990.0,507.2
27.2,965.5,494.6
29.2,975.5,499.7
33.2,991.8,508.1
37.2,965.1,494.4
41.2,991.4,507.9
43.2,978.6,501.3
47.2,983.0,503.6
49.2,988.9,506.6
53.2,993.8,509.1
55.2,995.3,509.9
59.2,973.7,498.8
63.2,988.2,506.3
67.2,981.7,502.9
71.2,950.5,486.9
75.2,981.0,502.6
79.2,969.2,496.5
81.2,984.5,504.4
85.2,964.7,494.2
89.2,519.1,265.9
91.2,0.0,0.0
95.2,0.0,0.0
99.2,0.0,0.0
103.2,0.0,0.0
107.2,0.0,0.0
111.2,0.0,0.0
115.2,0.0,0.0
119.2,0.0,0.0
123.2,0.0,0.0
127.2,0.0,0.0
131.2,0.0,0.0
