elapsed_s,kbps,pps
2.1,979.6,501.9
6.1,980.3,502.2
10.0,980.4,502.2
12.1,981.0,502.6
14.1,975.3,499.6
18.1,982.7,503.4
22.0,980.3,502.2
24.1,976.2,500.1
28.1,982.6,503.4
32.1,979.7,501.9
36.0,978.6,501.3
38.0,984.9,504.5
42.0,475.0,243.4
46.1,977.0,500.5
50.0,975.5,499.7
52.0,975.2,499.6
54.1,976.4,500.2
58.0,974.6,499.3
60.1,978.9,501.5
64.0,976.4,500.2
66.1,974.8,499.4
68.1,975.8,499.9
72.1,948.0,485.7
74.1,976.0,500.0
78.0,976.4,500.2
80.1,974.3,499.2
84.0,976.4,500.2
86.0,975.7,499.9
90.0,973.9,498.9
94.0,977.1,500.5
96.1,976.4,500.2
100.0,975.7,499.8
102.1,973.0,498.4
106.0,977.5,500.8
110.1,975.1,499.6
114.0,975.4,499.7
118.1,975.9,499.9
120.1,977.1,500.6
124.0,974.4,499.2
128.0,976.3,500.2
130.1,969.1,496.4
134.0,978.6,501.3
136.0,973.6,498.8
138.0,977.9,501.0
142.0,975.7,499.8
146.0,976.6,500.3
148.1,975.4,499.7
152.0,975.8,499.9
154.0,975.9,500.0
158.0,975.7,499.8
162.0,974.2,499.1
164.0,980.1,502.1
168.1,975.8,499.9
172.0,975.5,499.7
174.0,977.4,500.7
176.0,975.8,499.9
180.0,975.2,499.6
184.0,976.0,500.0
188.0,976.2,500.1
192.0,949.3,486.3
196.1,975.7,499.8
200.0,976.7,500.3
204.1,975.8,499.9
208.0,975.9,500.0
210.0,976.7,500.4
214.1,976.2,500.1
218.1,975.2,499.6
220.1,975.5,499.7
224.1,975.9,500.0
228.0,976.1,500.1
232.0,976.2,500.1
234.0,974.8,499.4
236.0,976.9,500.5
238.1,976.0,500.0
240.1,976.2,500.1
244.0,974.5,499.2
246.1,978.0,501.0
248.1,976.0,500.0
252.0,976.3,500.2
254.0,975.4,499.7
258.0,975.6,499.8
260.0,976.1,500.0
262.1,976.5,500.3
266.1,975.6,499.8
270.1,974.6,499.3
274.0,977.4,500.7
276.1,973.7,498.8
280.0,977.1,500.6
282.0,977.9,501.0
284.0,973.1,498.5
286.0,976.5,500.2
288.1,976.5,500.3
292.0,975.7,499.8
294.1,973.0,498.5
298.0,977.5,500.8
300.0,976.8,500.4
302.1,970.2,497.0
304.1,981.1,502.6
308.0,974.7,499.3
310.1,978.7,501.4
314.1,976.1,500.1
318.0,975.0,499.5
320.1,975.6,499.8
324.0,976.4,500.2
326.0,976.4,500.2
330.0,976.2,500.1
334.0,975.7,499.8
338.0,975.4,499.7
342.0,976.8,500.4
344.1,976.2,500.1
348.0,975.7,499.9
350.0,977.2,500.6
352.0,975.3,499.6
354.0,974.5,499.2
356.1,974.9,499.4
360.1,975.9,500.0
364.0,976.9,500.4
366.1,977.6,500.8
370.1,975.3,499.6
372.1,976.4,500.2
376.0,975.7,499.9
378.0,975.9,499.9
380.0,975.6,499.8
382.0,976.0,500.0
384.1,976.5,500.3
386.1,975.6,499.8
388.1,975.0,499.5
392.0,976.1,500.0
394.1,975.2,499.6
398.1,976.0,500.0
402.1,976.1,500.1
406.0,976.4,500.2
408.1,978.0,501.0
410.1,974.8,499.4
414.0,975.2,499.6
416.1,976.6,500.3
420.1,975.5,499.8
424.0,976.5,500.2
428.0,976.1,500.1
432.0,975.8,499.9
436.1,975.1,499.6
438.1,975.0,499.5
440.1,977.4,500.7
444.0,974.7,499.3
446.1,978.6,501.3
450.1,977.0,500.5
454.0,975.0,499.5
456.1,976.0,500.0
460.0,976.0,500.0
464.1,974.5,499.2
468.0,977.9,501.0
470.0,976.8,500.4
474.1,974.9,499.4
478.1,977.2,500.6
482.0,975.4,499.7
486.0,975.0,499.5
488.1,976.7,500.4
492.0,975.5,499.7
496.0,975.7,499.8
500.0,975.0,499.5
502.0,978.6,501.3
504.0,975.0,499.5
506.1,975.4,499.7
510.1,976.9,500.5
514.0,975.8,499.9
516.1,976.7,500.4
520.0,974.1,499.0
522.1,977.9,501.0
524.1,976.7,500.4
528.1,976.2,500.1
532.0,976.3,500.2
534.0,973.8,498.9
538.1,977.3,500.7
542.0,974.7,499.3
544.0,977.0,500.5
548.1,976.3,500.1
552.0,976.4,500.2
556.0,975.4,499.7
558.0,977.3,500.7
562.0,973.2,498.5
566.0,978.5,501.3
570.0,973.6,498.8
572.1,977.5,500.8
576.0,977.9,501.0
580.0,975.3,499.6
584.0,976.8,500.4
586.1,975.8,499.9
590.0,975.5,499.7
594.0,976.6,500.3
596.0,975.0,499.5
598.1,976.5,500.3
602.1,976.2,500.1
604.1,976.1,500.1
