elapsed_s,kbps,pps
2.9,981.2,502.7
4.9,991.5,507.9
8.9,971.2,497.5
12.9,990.3,507.3
16.9,974.8,499.4
18.9,990.3,507.3
22.9,973.6,498.8
26.9,983.6,503.9
30.9,990.0,507.2
32.9,964.0,493.8
36.9,976.7,500.3
38.9,987.9,506.1
41.0,983.9,504.0
44.9,986.1,505.2
46.9,972.9,498.4
50.9,979.9,502.0
54.9,986.8,505.5
56.9,983.4,503.8
60.9,977.8,500.9
62.9,976.9,500.5
66.9,983.1,503.6
70.9,970.4,497.1
72.9,989.9,507.1
76.9,983.3,503.7
78.9,973.1,498.5
82.9,975.4,499.7
84.9,989.4,506.9
87.0,974.8,499.4
90.9,978.7,501.4
94.9,986.5,505.4
97.0,967.7,495.7
100.9,978.6,501.3
104.9,979.5,501.8
106.9,973.8,498.9
110.9,971.1,497.5
