elapsed_s,kbps,pps
3.6,993.8,509.1
7.6,987.3,505.8
9.6,985.9,505.1
13.6,989.7,507.0
17.6,987.6,506.0
19.6,988.7,506.5
23.6,987.6,506.0
25.6,981.7,502.9
29.6,991.0,507.7
33.6,987.9,506.1
37.7,985.3,504.8
41.6,990.3,507.3
43.6,990.8,507.6
47.6,987.8,506.1
51.6,987.1,505.7
55.6,989.0,506.6
57.6,988.3,506.3
61.6,988.2,506.2
63.6,987.7,506.0
67.6,988.0,506.1
71.6,987.5,505.9
73.6,983.4,503.8
75.6,989.7,507.0
79.6,989.2,506.7
83.6,988.5,506.4
87.6,987.1,505.7
91.6,986.1,505.2
95.6,990.8,507.6
97.6,986.9,505.6
101.7,987.7,506.0
105.6,985.0,504.6
109.6,991.4,507.9
113.6,987.1,505.7
117.6,989.5,506.9
119.6,987.8,506.1
123.6,988.2,506.2
127.6,987.0,505.6
131.6,988.5,506.4
135.6,986.8,505.5
139.6,989.7,507.0
143.6,987.8,506.0
147.7,987.8,506.0
151.6,989.4,506.9
155.6,986.0,505.1
159.6,989.9,507.1
161.6,986.3,505.3
165.6,988.4,506.4
169.6,988.7,506.5
173.7,986.2,505.2
177.6,989.3,506.8
181.6,988.4,506.4
183.6,988.5,506.4
187.6,987.4,505.9
191.6,988.3,506.3
195.6,987.6,505.9
197.6,988.3,506.3
201.6,989.0,506.7
203.6,987.3,505.8
207.6,985.6,504.9
211.6,990.4,507.4
215.6,987.9,506.1
217.6,987.5,505.9
221.6,986.7,505.5
223.6,990.8,507.6
227.6,988.3,506.3
229.6,987.1,505.7
231.6,988.9,506.6
233.6,988.0,506.2
237.6,988.1,506.2
239.6,987.5,505.9
243.6,988.3,506.3
247.6,987.6,505.9
251.6,988.1,506.2
255.6,986.1,505.2
259.6,987.6,505.9
263.6,989.2,506.8
267.6,988.6,506.4
271.6,987.5,505.9
273.6,988.9,506.6
277.6,987.7,506.0
279.6,988.8,506.6
283.6,987.4,505.8
287.6,987.5,505.9
289.6,990.3,507.3
293.6,987.5,505.9
295.6,988.4,506.4
299.6,986.1,505.2
303.6,988.6,506.4
307.6,989.0,506.7
309.6,988.9,506.6
313.6,986.9,505.6
315.6,987.2,505.7
319.6,988.9,506.6
321.6,989.4,506.9
325.6,983.1,503.7
329.6,992.1,508.3
333.6,988.1,506.2
335.6,988.1,506.2
339.6,987.9,506.1
343.6,986.8,505.5
345.6,989.4,506.8
349.6,989.1,506.7
353.6,986.6,505.4
357.6,988.7,506.5
361.6,987.8,506.0
365.6,987.8,506.1
367.6,986.0,505.1
371.6,989.0,506.7
373.6,990.9,507.6
375.6,986.1,505.2
379.6,988.4,506.3
381.6,987.6,506.0
383.6,987.5,505.9
387.6,988.4,506.3
391.6,988.2,506.3
395.6,983.5,503.9
397.6,995.2,509.8
401.6,987.5,505.9
405.6,988.4,506.3
407.6,990.3,507.3
411.6,987.1,505.7
415.6,989.2,506.8
419.6,985.8,505.0
423.6,989.6,506.9
425.6,987.7,506.0
429.6,988.0,506.2
433.6,988.5,506.4
437.6,986.3,505.3
439.6,991.6,508.0
443.6,987.4,505.8
447.6,988.8,506.5
451.6,987.1,505.7
453.6,988.5,506.4
457.6,988.4,506.3
461.6,987.4,505.8
465.6,987.6,506.0
469.6,988.5,506.4
471.6,988.2,506.2
475.6,987.7,506.0
477.6,986.4,505.3
481.6,986.8,505.5
485.6,989.7,507.0
489.6,987.8,506.1
493.6,986.6,505.5
497.6,987.9,506.1
501.6,990.3,507.3
503.6,987.2,505.8
507.6,978.8,501.5
509.6,987.9,506.1
513.6,988.3,506.3
515.6,987.1,505.7
517.6,988.3,506.3
521.6,987.9,506.1
525.6,987.4,505.9
527.6,989.8,507.1
529.6,985.6,504.9
531.6,990.0,507.2
535.6,988.8,506.6
539.6,987.2,505.7
543.6,989.0,506.7
547.6,986.2,505.2
551.6,989.3,506.8
553.6,985.2,504.7
555.6,990.8,507.6
559.6,984.2,504.2
561.6,994.5,509.5
565.6,984.7,504.5
569.6,990.8,507.6
573.6,987.9,506.1
577.7,987.3,505.8
