elapsed_s,kbps,pps
2.8,302.0,154.7
6.8,290.3,148.7
10.9,290.7,148.9
14.8,289.5,148.3
16.8,293.8,150.5
20.8,289.8,148.4
24.8,289.8,148.5
28.8,291.4,149.3
32.8,290.9,149.0
36.8,290.3,148.7
40.9,290.8,149.0
44.8,290.3,148.7
46.9,290.3,148.7
50.8,290.9,149.0
52.8,291.5,149.3
54.8,290.2,148.7
58.9,290.1,148.6
60.9,290.7,148.9
64.8,290.6,148.9
66.8,289.9,148.5
68.9,291.8,149.5
70.9,287.7,147.4
74.9,291.9,149.5
78.9,290.4,148.8
82.8,290.0,148.6
84.9,290.3,148.7
88.8,291.0,149.1
90.9,289.5,148.3
92.9,290.1,148.6
96.9,291.1,149.1
100.9,290.5,148.8
104.8,290.2,148.7
106.8,291.1,149.1
110.9,290.4,148.8
114.9,290.9,149.0
118.9,290.0,148.6
122.8,290.2,148.7
126.8,291.3,149.3
128.8,289.5,148.3
132.9,290.2,148.7
134.9,291.1,149.1
138.8,290.7,148.9
140.8,289.8,148.5
142.9,291.8,149.5
146.8,289.0,148.0
148.9,292.3,149.8
152.9,291.1,149.1
156.9,289.8,148.5
160.9,290.6,148.8
164.8,290.8,149.0
166.8,290.1,148.6
168.9,292.1,149.6
170.9,289.1,148.1
174.9,290.6,148.9
178.9,291.1,149.1
182.8,289.2,148.2
186.8,291.0,149.1
188.8,290.7,148.9
192.9,291.2,149.2
196.9,289.8,148.5
198.9,291.0,149.1
202.9,291.0,149.1
206.9,290.3,148.7
208.9,288.3,147.7
212.8,291.3,149.2
216.8,289.8,148.5
218.8,292.8,150.0
220.8,290.3,148.7
224.8,72.4,37.1
226.9,0.0,0.0
230.9,0.0,0.0
234.8,0.0,0.0
238.8,0.0,0.0
242.8,0.0,0.0
246.8,0.0,0.0
250.8,19.0,9.7
252.8,311.5,159.6
256.9,309.9,158.7
