elapsed_s,kbps,pps
2.9,538.6,275.9
5.0,942.9,483.0
8.9,960.7,492.2
11.0,937.8,480.4
14.9,972.8,498.4
18.9,975.8,499.9
20.9,988.4,506.4
24.9,995.2,509.8
27.0,990.2,507.3
30.9,1000.6,512.6
32.9,1000.9,512.8
35.0,985.9,505.0
38.9,996.4,510.4
41.0,1026.8,526.0
44.9,992.6,508.5
49.0,1000.4,512.5
52.9,993.0,508.7
56.9,1000.8,512.7
60.9,988.3,506.3
64.9,991.4,507.9
68.9,989.2,506.7
70.9,975.8,499.9
74.9,984.7,504.5
78.9,996.7,510.6
82.9,997.6,511.1
86.9,980.5,502.3
90.9,994.0,509.2
94.9,989.3,506.8
98.9,978.7,501.4
103.0,988.6,506.4
107.0,975.0,499.5
110.9,974.7,499.3
112.9,983.9,504.0
117.0,936.6,479.8
121.0,970.9,497.4
124.9,971.3,497.6
126.9,977.0,500.5
130.9,959.5,491.6
133.0,986.2,505.2
136.9,949.6,486.5
138.9,982.4,503.3
141.0,982.5,503.3
144.9,965.2,494.5
147.0,958.0,490.8
150.9,985.7,505.0
153.0,960.1,491.8
156.9,966.9,495.4
160.9,963.4,493.6
162.9,986.5,505.4
164.9,949.7,486.5
168.9,980.5,502.3
171.0,999.2,511.9
173.0,973.2,498.6
176.9,974.0,499.0
180.9,995.4,510.0
182.9,972.9,498.4
186.9,982.7,503.4
189.0,996.5,510.5
191.0,962.2,492.9
194.9,961.3,492.4
196.9,983.7,503.9
198.9,978.3,501.2
203.0,967.3,495.5
207.0,957.3,490.4
211.0,979.5,501.8
214.9,977.7,500.9
218.9,974.5,499.2
220.9,995.6,510.0
222.9,985.9,505.0
226.9,986.3,505.3
230.9,965.6,494.7
233.0,995.5,510.0
237.0,989.4,506.9
240.9,983.0,503.6
242.9,978.8,501.4
246.9,983.0,503.6
248.9,984.1,504.2
250.9,961.3,492.4
254.9,977.6,500.8
256.9,988.3,506.3
260.9,992.0,508.2
264.9,987.9,506.1
266.9,986.5,505.4
268.9,981.6,502.9
273.0,980.2,502.1
276.9,988.6,506.5
278.9,993.1,508.8
282.9,985.7,505.0
286.9,993.4,508.9
291.0,978.1,501.1
295.0,978.3,501.2
298.9,944.2,483.7
302.9,981.4,502.8
304.9,992.2,508.3
306.9,985.5,504.8
308.9,993.6,509.0
310.9,952.3,487.8
314.9,986.3,505.3
316.9,994.4,509.5
319.0,996.4,510.5
322.9,992.9,508.6
324.9,973.9,498.9
326.9,1006.1,515.4
330.9,982.1,503.1
332.9,975.8,499.9
336.9,986.3,505.3
338.9,982.1,503.1
342.9,973.7,498.8
346.9,977.1,500.6
348.9,938.0,480.5
352.9,1004.1,514.4
356.9,957.9,490.7
358.9,955.6,489.5
362.9,995.5,510.0
364.9,969.1,496.5
366.9,995.1,509.8
370.9,959.0,491.3
372.9,960.0,491.8
377.0,989.2,506.7
380.9,959.9,491.8
384.9,967.8,495.8
