elapsed_s,kbps,pps
2.6,639.7,327.7
6.6,631.7,323.6
8.6,629.2,322.3
10.6,630.7,323.1
12.6,631.7,323.6
16.6,632.0,323.8
18.6,631.1,323.3
20.6,629.9,322.7
24.6,631.1,323.3
26.6,630.2,322.8
30.6,630.7,323.1
32.6,631.1,323.3
36.6,631.9,323.7
38.6,622.5,318.9
42.6,621.5,318.4
46.6,629.7,322.6
50.6,630.0,322.7
54.6,627.6,321.5
56.6,631.2,323.4
60.6,630.5,323.0
64.6,629.5,322.5
68.6,630.4,323.0
70.6,629.1,322.3
74.6,631.6,323.6
76.6,626.3,320.8
78.6,633.0,324.3
82.6,627.8,321.6
84.6,626.3,320.8
88.6,626.5,321.0
90.6,632.4,324.0
94.6,628.2,321.8
98.6,628.5,322.0
102.6,627.7,321.6
106.6,628.0,321.7
110.6,628.6,322.0
114.6,626.8,321.1
116.6,625.0,320.2
118.6,630.0,322.7
120.6,628.6,322.0
124.6,628.1,321.8
126.6,631.7,323.6
130.6,627.6,321.5
134.6,629.7,322.6
136.6,632.2,323.9
140.6,629.6,322.6
144.6,622.4,318.9
148.6,631.7,323.6
152.6,629.7,322.6
156.6,631.0,323.3
158.6,630.9,323.2
160.6,630.4,323.0
164.6,627.4,321.4
166.6,632.3,323.9
170.6,628.8,322.2
172.6,629.0,322.2
174.6,626.9,321.1
178.6,631.1,323.3
180.6,629.9,322.7
184.6,627.7,321.5
186.6,628.8,322.1
190.6,629.9,322.7
194.6,630.9,323.2
198.6,631.2,323.4
200.6,628.7,322.1
204.6,630.9,323.2
208.6,631.0,323.3
210.6,631.0,323.2
214.6,629.4,322.4
216.6,631.7,323.6
220.6,630.9,323.2
224.6,629.0,322.3
228.6,631.2,323.4
232.6,632.8,324.2
234.6,629.2,322.3
236.6,630.8,323.2
240.6,630.5,323.0
242.6,629.5,322.5
246.6,628.9,322.2
250.6,630.3,322.9
252.6,629.4,322.4
256.6,631.1,323.3
258.6,629.5,322.5
260.6,632.7,324.1
264.6,631.0,323.3
268.6,235.7,120.8
272.6,0.0,0.0
